title,section_citation,section_heading,chapter,title_name,regulated_population,mandate_type,section_primary_mandate_type,queries_matched,granule_id,package_id,source_url,uscode_house_url,local_file,retrieved,verified,names_fasb_or_asc
5,5 U.S.C. § 8439,§8439. Accounting and information,PART III-EMPLOYEES,TITLE 5-GOVERNMENT ORGANIZATION AND EMPLOYEES,PART III-EMPLOYEES,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title5-partIII-subpartG-chap84-subchapIII-sec8439,USCODE-2024-title5,https://api.govinfo.gov/packages/USCODE-2024-title5/granules/USCODE-2024-title5-partIII-subpartG-chap84-subchapIII-sec8439/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title5-partIII-subpartG-chap84-subchapIII-sec8439,downloads/raw/govinfo-fulltext/USCODE-2024-title5-partIII-subpartG-chap84-subchapIII-sec8439.htm,2026-09-11,,false
5,5 U.S.C. § 8438,§8438. Investment of Thrift Savings Fund,PART III-EMPLOYEES,TITLE 5-GOVERNMENT ORGANIZATION AND EMPLOYEES,PART III-EMPLOYEES,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title5-partIII-subpartG-chap84-subchapIII-sec8438,USCODE-2024-title5,https://api.govinfo.gov/packages/USCODE-2024-title5/granules/USCODE-2024-title5-partIII-subpartG-chap84-subchapIII-sec8438/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title5-partIII-subpartG-chap84-subchapIII-sec8438,downloads/raw/govinfo-fulltext/USCODE-2024-title5-partIII-subpartG-chap84-subchapIII-sec8438.htm,2026-09-11,,false
42,42 U.S.C. § 1485,§1485. Housing and related facilities for elderly persons and families or other persons and families of low income,"CHAPTER 8A-SLUM CLEARANCE, URBAN RENEWAL, AND FARM HOUSING",TITLE 42-THE PUBLIC HEALTH AND WELFARE,"CHAPTER 8A-SLUM CLEARANCE, URBAN RENEWAL, AND FARM HOUSING",binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title42-chap8A-subchapIII-sec1485,USCODE-2024-title42,https://api.govinfo.gov/packages/USCODE-2024-title42/granules/USCODE-2024-title42-chap8A-subchapIII-sec1485/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title42-chap8A-subchapIII-sec1485,downloads/raw/govinfo-fulltext/USCODE-2024-title42-chap8A-subchapIII-sec1485.htm,2026-09-11,,false
42,42 U.S.C. § 1395x,§1395x. Definitions,CHAPTER 7-SOCIAL SECURITY,TITLE 42-THE PUBLIC HEALTH AND WELFARE,CHAPTER 7-SOCIAL SECURITY,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title42-chap7-subchapXVIII-partE-sec1395x,USCODE-2024-title42,https://api.govinfo.gov/packages/USCODE-2024-title42/granules/USCODE-2024-title42-chap7-subchapXVIII-partE-sec1395x/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title42-chap7-subchapXVIII-partE-sec1395x,downloads/raw/govinfo-fulltext/USCODE-2024-title42-chap7-subchapXVIII-partE-sec1395x.htm,2026-09-11,,false
42,42 U.S.C. § 1395x,§1395x. Definitions,CHAPTER 7-SOCIAL SECURITY,TITLE 42-THE PUBLIC HEALTH AND WELFARE,CHAPTER 7-SOCIAL SECURITY,permissive,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title42-chap7-subchapXVIII-partE-sec1395x,USCODE-2024-title42,https://api.govinfo.gov/packages/USCODE-2024-title42/granules/USCODE-2024-title42-chap7-subchapXVIII-partE-sec1395x/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title42-chap7-subchapXVIII-partE-sec1395x,downloads/raw/govinfo-fulltext/USCODE-2024-title42-chap7-subchapXVIII-partE-sec1395x.htm,2026-09-11,,false
42,42 U.S.C. § 1320a-1,§1320a–1. Limitation on use of Federal funds for capital expenditures,CHAPTER 7-SOCIAL SECURITY,TITLE 42-THE PUBLIC HEALTH AND WELFARE,CHAPTER 7-SOCIAL SECURITY,permissive,permissive,primary-generally-accepted-accounting-principles,USCODE-2024-title42-chap7-subchapXI-partA-sec1320a-1,USCODE-2024-title42,https://api.govinfo.gov/packages/USCODE-2024-title42/granules/USCODE-2024-title42-chap7-subchapXI-partA-sec1320a-1/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title42-chap7-subchapXI-partA-sec1320a-1,downloads/raw/govinfo-fulltext/USCODE-2024-title42-chap7-subchapXI-partA-sec1320a-1.htm,2026-09-11,,false
42,42 U.S.C. § 612,§612. Direct funding and administration by Indian tribes,CHAPTER 7-SOCIAL SECURITY,TITLE 42-THE PUBLIC HEALTH AND WELFARE,CHAPTER 7-SOCIAL SECURITY,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title42-chap7-subchapIV-partA-sec612,USCODE-2024-title42,https://api.govinfo.gov/packages/USCODE-2024-title42/granules/USCODE-2024-title42-chap7-subchapIV-partA-sec612/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title42-chap7-subchapIV-partA-sec612,downloads/raw/govinfo-fulltext/USCODE-2024-title42-chap7-subchapIV-partA-sec612.htm,2026-09-11,,false
42,42 U.S.C. § 300ee-15,§300ee–15. Requirement of reports and audits by States,CHAPTER 6A-PUBLIC HEALTH SERVICE,TITLE 42-THE PUBLIC HEALTH AND WELFARE,CHAPTER 6A-PUBLIC HEALTH SERVICE,permissive,permissive,primary-generally-accepted-accounting-principles,USCODE-2024-title42-chap6A-subchapXXIII-partA-sec300ee-15,USCODE-2024-title42,https://api.govinfo.gov/packages/USCODE-2024-title42/granules/USCODE-2024-title42-chap6A-subchapXXIII-partA-sec300ee-15/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title42-chap6A-subchapXXIII-partA-sec300ee-15,downloads/raw/govinfo-fulltext/USCODE-2024-title42-chap6A-subchapXXIII-partA-sec300ee-15.htm,2026-09-11,,false
42,42 U.S.C. § 300x-65,§300x–65. Services provided by nongovernmental organizations,CHAPTER 6A-PUBLIC HEALTH SERVICE,TITLE 42-THE PUBLIC HEALTH AND WELFARE,CHAPTER 6A-PUBLIC HEALTH SERVICE,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title42-chap6A-subchapXVII-partB-subpartiii-sec300x-65,USCODE-2024-title42,https://api.govinfo.gov/packages/USCODE-2024-title42/granules/USCODE-2024-title42-chap6A-subchapXVII-partB-subpartiii-sec300x-65/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title42-chap6A-subchapXVII-partB-subpartiii-sec300x-65,downloads/raw/govinfo-fulltext/USCODE-2024-title42-chap6A-subchapXVII-partB-subpartiii-sec300x-65.htm,2026-09-11,,false
42,42 U.S.C. § 254b,§254b. Health centers,CHAPTER 6A-PUBLIC HEALTH SERVICE,TITLE 42-THE PUBLIC HEALTH AND WELFARE,CHAPTER 6A-PUBLIC HEALTH SERVICE,binding,binding,primary-generally-accepted-accounting-principles,USCODE-2024-title42-chap6A-subchapII-partD-subparti-sec254b,USCODE-2024-title42,https://api.govinfo.gov/packages/USCODE-2024-title42/granules/USCODE-2024-title42-chap6A-subchapII-partD-subparti-sec254b/htm,https://uscode.house.gov/view.xhtml?req=granuleid:USCODE-2024-title42-chap6A-subchapII-partD-subparti-sec254b,downloads/raw/govinfo-fulltext/USCODE-2024-title42-chap6A-subchapII-partD-subparti-sec254b.htm,2026-09-11,,false
